Artikelnummer;URL;Bezeichnung;Model;Size;Bez1
150281C07000;https://www.miraphone.de/f-tuba-116.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000004;https://www.miraphone.de/f-tuba-104.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000200;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1-7.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000500;https://www.miraphone.de/f-tuba-101.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000504;https://www.miraphone.de/f-tuba-108.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000520;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1-6.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000524;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1-5.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000700;https://www.miraphone.de/f-tuba-113.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C07000720;https://www.miraphone.de/f-tuba-112.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000;https://www.miraphone.de/f-tuba-115.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000004;https://www.miraphone.de/f-tuba-103.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000200;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1-4.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000204;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1-3.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000500;https://www.miraphone.de/f-tuba-107.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000504;https://www.miraphone.de/f-tuba-118.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
150281C11000520;https://www.miraphone.de/f-tuba-281-firebird-5-4-size-bell-40-cm-6-valves-1-2.html;F-Tuba;Modell 281 Firebird;5/4 kompakt;Modell 281 Firebird5/4 kompakt
