Artikelnummer;URL;Bezeichnung;Model;Size;Bez1
170497A07000;https://www.miraphone.de/b-tuba-14.html;B-Tuba;Modell 497 Hagen;6/4;Modell 497 Hagen6/4
170497A07020;https://www.miraphone.de/b-tuba-13.html;B-Tuba;Modell 497 Hagen;6/4;Modell 497 Hagen6/4
170497B07000;https://www.miraphone.de/bb-tuba-hagen-497-6-4-size-bell-48-cm-4-valves-1.html;B-Tuba;Modell 497 Hagen;6/4;Modell 497 Hagen6/4
170497B07020;https://www.miraphone.de/bb-tuba-hagen-497-170497b07020.html;B-Tuba;Modell 497 Hagen;6/4;Modell 497 Hagen6/4
180084A07000;https://www.miraphone.de/cc-tuba-42.html;C-Tuba;Modell 84;1/2;Modell 841/2
180084A07000500;https://www.miraphone.de/cc-tuba-84-bell-38-cm-4-valves-1.html;C-Tuba;Modell 84;1/2;Modell 841/2
180084B07000;https://www.miraphone.de/cc-tuba-40.html;C-Tuba;Modell 84;1/2;Modell 841/2
180084B07000500;https://www.miraphone.de/cc-tuba-84-bell-38-cm-5-valves-1.html;C-Tuba;Modell 84;1/2;Modell 841/2
180085B07000;https://www.miraphone.de/cc-tuba-38.html;C-Tuba;Modell 85;3/4;Modell 853/4
180085B07000500;https://www.miraphone.de/cc-tuba-85-bell-40-cm-5-valves-1.html;C-Tuba;Modell 85;3/4;Modell 853/4
180086A07000;https://www.miraphone.de/cc-tuba-36.html;C-Tuba;Modell 86;4/4;Modell 864/4
