Artikelnummer;URL;Bezeichnung;Model;Size
03250001100A125;https://www.miraphone.de/bb-fluegelhorn-5.html;B-Flügelhorn;Modell 25;
03250001100A130;https://www.miraphone.de/bb-fluegelhorn-32.html;B-Flügelhorn;Modell 25;
03250001101A100;https://www.miraphone.de/bb-fluegelhorn-4.html;B-Flügelhorn;Modell 25;
03250001101AP10;https://www.miraphone.de/bb-fluegelhorn-3.html;B-Flügelhorn;Modell 25;
03250001101AP20;https://www.miraphone.de/bb-fluegelhorn-2.html;B-Flügelhorn;Modell 25;
03250001102A100;https://www.miraphone.de/bb-fluegelhorn-1.html;B-Flügelhorn;Modell 25;
040036L0700A;https://www.miraphone.de/eb-alto-horn-left-hand-action-1.html;ES-KONZERTHORN;Modell 36L;
040036L1100A;https://www.miraphone.de/eb-alto-horn-left-hand-action.html;ES-KONZERTHORN;Modell 36L;
040036R0700A;https://www.miraphone.de/eb-alto-horn-right-hand-action-1.html;ES-KONZERTHORN;Modell 36R;
040036R1100A;https://www.miraphone.de/eb-alto-horn-right-hand-action.html;ES-KONZERTHORN;Modell 36R;
050037007000;https://www.miraphone.de/b-basstrompete-7.html;B-Baßtrompete;Modell 37;
050037007000100;https://www.miraphone.de/b-basstrompete-5.html;B-Baßtrompete;Modell 37;
050037011000;https://www.miraphone.de/b-basstrompete-8.html;B-Baßtrompete;Modell 37;
050037011000100;https://www.miraphone.de/b-basstrompete-6.html;B-Baßtrompete;Modell 37;
050037407000;https://www.miraphone.de/b-basstrompete-4.html;B-Baßtrompete;Modell 37;
050037407000120;https://www.miraphone.de/b-basstrompete-3.html;B-Baßtrompete;Modell 37;
050037411000;https://www.miraphone.de/b-basstrompete.html;B-Baßtrompete;Modell 37;
050037411000100;https://www.miraphone.de/b-basstrompete-2.html;B-Baßtrompete;Modell 37;
050047007000;https://www.miraphone.de/bb-tenor-horn-17.html;B-Tenorhorn;Modell 47;
050047007020P11;https://www.miraphone.de/bb-tenor-horn.html;B-Tenorhorn;Modell 47;
050047011000;https://www.miraphone.de/bb-tenor-horn-16.html;B-Tenorhorn;Modell 47;
050047407000;https://www.miraphone.de/bb-tenor-horn-15.html;B-Tenorhorn;Modell 47;
050047411000;https://www.miraphone.de/bb-tenor-horn-14.html;B-Tenorhorn;Modell 47;
050237011000100;https://www.miraphone.de/bb-bass-trumpet-1.html;B-Baßtrompete;Modell 237;
05047WL07000;https://www.miraphone.de/b-tenorhorn-05047wl07000.html;B-Tenorhorn;Modell 47WL;
05047WL07000100;https://www.miraphone.de/b-tenorhorn-05047wl07000100.html;B-Tenorhorn;Modell 47WL;
05047WL07000200;https://www.miraphone.de/b-tenorhorn-05047wl07000200.html;B-Tenorhorn;Modell 47WL;
05047WL07020;https://www.miraphone.de/b-tenorhorn-05047wl07020.html;B-Tenorhorn;Modell 47WL;
05047WL11000;https://www.miraphone.de/b-tenorhorn-05047wl11000.html;B-Tenorhorn;Modell 47WL;
