Artikelummer;URL;Bezeichnung;Model;Size
02110001101A100;https://www.miraphone.de/bb-trumpet-rotary-valves-24.html;B-Zylindertrompete;Modell 11;
0324R001100A100;https://www.miraphone.de/bb-fluegelhorn-24.html;B-Flügelhorn;Modell 24R;
070054L1102A;https://www.miraphone.de/bb-baritone-11.html;B-Bariton;Modell 54L Loimayr;
150281B11000500;https://www.miraphone.de/f-tuba-99.html;F-Tuba;Modell 281 Firebird;5/4 kompakt
170091A11000;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-4-valves-1-2.html;B-Tuba;Modell 91;5/4 kompakt
57C067016000;https://www.miraphone.de/cc-contrabass-slide-trombone.html;C-Kontrabaß Zugposaune;Modell 67;
